CMDLINE /usr/bin/python3 julia1_memoryprofiler.py
MEM 0.625000 1711331945.5008
MEM 33.746094 1711331945.6012
MEM 68.679688 1711331945.7014
MEM 128.804688 1711331945.8017
MEM 128.804688 1711331945.9020
MEM 128.929688 1711331946.0024
MEM 129.054688 1711331946.1028
MEM 129.179688 1711331946.2031
MEM 129.179688 1711331946.3034
MEM 129.179688 1711331946.4037
MEM 129.304688 1711331946.5039
MEM 129.429688 1711331946.6042
MEM 129.554688 1711331946.7044
MEM 129.679688 1711331946.8048
MEM 129.804688 1711331946.9051
MEM 129.929688 1711331947.0054
MEM 129.929688 1711331947.1058
MEM 130.054688 1711331947.2061
MEM 130.179688 1711331947.3065
MEM 130.304688 1711331947.4069
MEM 130.304688 1711331947.5071
MEM 130.304688 1711331947.6075
MEM 130.429688 1711331947.7078
MEM 130.554688 1711331947.8081
MEM 130.679688 1711331947.9084
MEM 130.804688 1711331948.0087
MEM 130.929688 1711331948.1090
MEM 131.054688 1711331948.2092
MEM 131.179688 1711331948.3094
MEM 131.179688 1711331948.4097
MEM 131.304688 1711331948.5100
MEM 131.429688 1711331948.6104
MEM 131.554688 1711331948.7107
MEM 45.496094 1711331948.8111
